case_id,order_id,expected_category,expected_txn_ids,expected_amount,expected_currency,expected_settlement_date,expected_total_settled,expected_difference,split,note
C0767,ORD-000742,duplicate_record,TXN-0000758,42677.99,INR,2026-06-05,42677.99,0.0,validation,"Near duplicate: same order and amount settled twice, one day apart."
C0937,ORD-000912,multiple_possible_matches,TXN-0001206,6025.41,INR,2026-06-18,6025.41,0.0,dev,"3 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001206 is correct. Decoys: TXN-0001207,TXN-0001208. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0743,ORD-000718,duplicate_record,TXN-0000710,29535.74,INR,2026-08-08,29535.74,0.0,validation,"Exact duplicate: two identical settlements for the same order, same amount and date."
C0399,ORD-000399,amount_issue,TXN-0000399,43464.72,INR,2026-07-18,43463.93,0.79,dev,Gross settlement amount differs from order amount by a small variance (₹0.79).
C0880,ORD-000855,multiple_possible_matches,TXN-0001015,5818.42,INR,2026-08-22,5818.42,0.0,test_holdout,"4 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001015 is correct. Decoys: TXN-0001016,TXN-0001017,TXN-0001018. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0001,ORD-000001,exact_match,TXN-0000001,42661.76,INR,2026-07-12,42661.76,0.0,test_holdout,"Reference id formatted differently ('ORD000001' vs 'ORD-000001') — requires normalization, but amount/date/identity agree: true match."
C0313,ORD-000313,exact_match,TXN-0000313,8393.55,INR,2026-08-28,8393.55,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0348,ORD-000348,exact_match,TXN-0000348,5871.55,INR,2026-07-09,5871.55,0.0,test_holdout,"Amount, date, and reference all agree exactly."
C0102,ORD-000102,exact_match,TXN-0000102,3966.36,INR,2026-06-30,3966.36,0.0,dev,"Amount, date, and reference all agree exactly."
C0819,ORD-000794,partial_settlement,TXN-0000882;TXN-0000883,30329.38,INR,2026-08-24,30329.38,0.0,dev,Order was settled in two parts (TXN-0000882 + TXN-0000883) summing exactly to the order amount.
C0917,ORD-000892,multiple_possible_matches,TXN-0001142,5881.07,INR,2026-07-25,5881.07,0.0,dev,"3 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001142 is correct. Decoys: TXN-0001143,TXN-0001144. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0004,ORD-000004,exact_match,TXN-0000004,5702.52,INR,2026-08-12,5702.52,0.0,dev,"Reference id formatted differently ('ORD-00004' vs 'ORD-000004') — requires normalization, but amount/date/identity agree: true match."
C0793,ORD-000768,partial_settlement,TXN-0000830;TXN-0000831,27277.46,INR,2026-08-17,27277.46,0.0,test_holdout,Order was settled in two parts (TXN-0000830 + TXN-0000831) summing exactly to the order amount.
C0988,ORD-000963,other_conflicting,TXN-0001255,28442.13,INR,2026-06-09,28442.13,0.0,validation,Settlement reference 'ORD-000989' is corrupted and does not cleanly normalize to 'ORD-000963' or any other real order.
C0938,ORD-000913,multiple_possible_matches,TXN-0001209,1303.33,INR,2026-06-19,1303.33,0.0,validation,"3 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001209 is correct. Decoys: TXN-0001210,TXN-0001211. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0503,ORD-000503,amount_issue,TXN-0000503,31164.9,INR,2026-08-06,14544.64,16620.26,dev,Gross settlement amount is materially mismatched vs order amount — possible keying error (diff ₹-16620.26).
C0557,ORD-000557,date_issue,TXN-0000577,14645.52,INR,2026-09-02,14645.52,0.0,validation,"Genuine settlement (TXN-0000577) is dated +8 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0970,ORD-000945,other_conflicting,,44905.92,INR,,0,44905.92,dev,"Settlement TXN-0001242 matches this order's customer, amount, and date, but its reference_order_id deterministically points to a different real order (ORD-000944), so it is rejected outright rather than treated as ambiguous — this is other_conflicting, not multiple_possible_matches, precisely because the reference check resolves it with certainty (to the wrong order), leaving no genuine uncertainty about candidates. This order itself has no genuine settlement (missing) — a naive amount/date matcher would be fooled."
C0444,ORD-000444,amount_issue,TXN-0000444,17335.25,INR,2026-08-10,17327.82,7.43,dev,Gross settlement amount differs from order amount by a small variance (₹7.43).
C0185,ORD-000185,exact_match,TXN-0000185,10686.76,INR,2026-08-27,10686.76,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0057,ORD-000057,exact_match,TXN-0000057,22920.97,INR,2026-06-13,22920.97,0.0,test_holdout,"Amount, date, and reference all agree exactly."
C0572,ORD-000572,date_issue,TXN-0000592,27498.93,INR,2026-07-27,27498.93,0.0,dev,"Genuine settlement (TXN-0000592) is dated +5 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0259,ORD-000259,exact_match,TXN-0000259,13408.42,INR,2026-07-04,13408.42,0.0,dev,"Amount, date, and reference all agree exactly."
C0099,ORD-000099,exact_match,TXN-0000099,28285.85,INR,2026-08-06,28285.85,0.0,test_holdout,"Amount, date (within settlement lag), and reference all agree."
C0116,ORD-000116,exact_match,TXN-0000116,17500.15,INR,2026-07-05,17500.15,0.0,dev,"Amount, date, and reference all agree exactly."
C0641,ORD-000641,missing_record,,22071.62,INR,,0,22071.62,dev,Order recorded but no corresponding settlement received (pending or lost).
C0300,ORD-000300,exact_match,TXN-0000300,27226.34,INR,2026-07-03,27226.34,0.0,test_holdout,"Amount, date, and reference all agree exactly."
C0373,ORD-000373,exact_match,TXN-0000373,42932.08,INR,2026-07-17,42932.08,0.0,dev,"Amount, date, and reference all agree exactly."
C0414,ORD-000414,amount_issue,TXN-0000414,36344.98,INR,2026-07-27,36345.49,-0.51,validation,Gross settlement amount differs from order amount by a small variance (₹0.51).
C0524,ORD-000524,date_issue,TXN-0000527,13574.14,INR,2026-06-21,13574.14,0.0,dev,"Genuine settlement (TXN-0000527) is dated +3 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue. Distractor (TXN-0000528) shares the order's amount and lands exactly on the order date (looks like a cleaner match than the genuine one), but its reference ('ORD-GHOST-333290') does not resolve to any real order — it must be rejected, not swapped in for the genuine, correctly-referenced but late settlement TXN-0000527."
C0487,ORD-000487,amount_issue,TXN-0000487,36784.86,INR,2026-06-18,55878.74,-19093.88,dev,Gross settlement amount is materially mismatched vs order amount — possible keying error (diff ₹19093.88).
C0394,ORD-000394,amount_issue,TXN-0000394,21961.25,INR,2026-08-12,21968.69,-7.44,dev,Gross settlement amount differs from order amount by a small variance (₹7.44).
C0439,ORD-000439,amount_issue,TXN-0000439,26803.87,INR,2026-06-09,26799.87,4.0,validation,Gross settlement amount differs from order amount by a small variance (₹4.00).
C0750,ORD-000725,duplicate_record,TXN-0000724,39537.41,INR,2026-06-15,39537.41,0.0,dev,"Near duplicate: same order and amount settled twice, one day apart."
C0907,ORD-000882,multiple_possible_matches,TXN-0001108,6405.92,INR,2026-07-03,6405.92,0.0,validation,"3 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001108 is correct. Decoys: TXN-0001109,TXN-0001110. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0643,ORD-000643,missing_record,,946.84,INR,,0,946.84,validation,Order recorded but no corresponding settlement received (pending or lost).
C0189,ORD-000189,exact_match,TXN-0000189,3056.46,INR,2026-07-14,3056.46,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0265,ORD-000265,exact_match,TXN-0000265,17711.6,INR,2026-06-28,17711.6,0.0,dev,"Amount, date, and reference all agree exactly."
C0858,ORD-000833,partial_settlement,TXN-0000960;TXN-0000961,19809.75,INR,2026-08-01,10775.56,9034.19,dev,Partial settlement with an unexplained shortfall: TXN-0000960 + TXN-0000961 total ₹10775.56 against an order of ₹19809.75 (short by ₹9034.19). Ranked partial_settlement ahead of amount_issue per category precedence.
C0232,ORD-000232,exact_match,TXN-0000232,28700.24,INR,2026-06-21,28700.24,0.0,dev,"Amount, date, and reference all agree exactly."
C0507,ORD-000507,amount_issue,TXN-0000507,20243.61,INR,2026-07-10,26796.53,-6552.92,dev,Gross settlement amount is materially mismatched vs order amount — possible keying error (diff ₹6552.92).
C0596,ORD-000596,date_issue,TXN-0000616,42948.81,INR,2026-07-12,42948.81,0.0,dev,"Genuine settlement (TXN-0000616) is dated +7 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0016,ORD-000016,exact_match,TXN-0000016,14035.89,INR,2026-08-31,14035.89,0.0,dev,"Reference id formatted differently ('ord-000016' vs 'ORD-000016') — requires normalization, but amount/date/identity agree: true match."
C0633,ORD-000633,missing_record,,28877.59,INR,,0,28877.59,dev,Order recorded but no corresponding settlement received (pending or lost).
C0784,ORD-000759,duplicate_record,TXN-0000805;TXN-0000806,41862.05,INR,2026-06-15,41862.06,-0.01,test_holdout,Duplicate + partial combo: TXN-0000805 and TXN-0000806 together equal the order amount (genuine two-part settlement); TXN-0000807 duplicates one leg and should be excluded/reversed.
C0489,ORD-000489,amount_issue,TXN-0000489,15911.59,INR,2026-08-28,11927.71,3983.88,test_holdout,Gross settlement amount is materially mismatched vs order amount — possible keying error (diff ₹-3983.88).
C0537,ORD-000537,date_issue,TXN-0000553,24765.16,INR,2026-07-20,24765.16,0.0,dev,"Genuine settlement (TXN-0000553) is dated +4 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue. Distractor (TXN-0000554) shares the order's amount and lands exactly on the order date (looks like a cleaner match than the genuine one), but its reference ('ORD-GHOST-808017') does not resolve to any real order — it must be rejected, not swapped in for the genuine, correctly-referenced but late settlement TXN-0000553."
C0295,ORD-000295,exact_match,TXN-0000295,7532.38,INR,2026-06-14,7532.38,0.0,validation,"Amount, date, and reference all agree exactly."
C0302,ORD-000302,exact_match,TXN-0000302,30105.12,INR,2026-07-01,30105.12,0.0,test_holdout,"Amount, date (within settlement lag), and reference all agree."
C0135,ORD-000135,exact_match,TXN-0000135,44841.91,INR,2026-07-13,44841.91,0.0,dev,"Amount, date, and reference all agree exactly."
C0002,ORD-000002,exact_match,TXN-0000002,16551.15,INR,2026-06-15,16551.15,0.0,dev,"Reference id formatted differently ('ORD000002' vs 'ORD-000002') — requires normalization, but amount/date/identity agree: true match."
C0421,ORD-000421,amount_issue,TXN-0000421,25406.27,INR,2026-06-24,25400.5,5.77,dev,Gross settlement amount differs from order amount by a small variance (₹5.77).
C0876,ORD-000851,multiple_possible_matches,TXN-0001004,6866.11,INR,2026-08-24,6866.11,0.0,dev,"5 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001004 is correct. Decoys: TXN-0001005,TXN-0001006,TXN-0001007,TXN-0001008. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0515,ORD-000515,amount_issue,TXN-0000515,2738.84,INR,2026-07-02,2389.55,349.29,dev,Gross settlement amount is materially mismatched vs order amount — possible keying error (diff ₹-349.29).
C0459,ORD-000459,amount_issue,TXN-0000459,3211.86,INR,2026-08-26,4305.41,-1093.55,dev,Combo case: gross settlement amount is mismatched (diff ₹1093.55) AND the reference ('ORD-000450') is malformed vs 'ORD-000459' — the agent must use date proximity plus a fuzzy/normalized reference match to even find this candidate before it can assess the amount discrepancy.
C0171,ORD-000171,exact_match,TXN-0000171,1973.13,INR,2026-07-22,1973.13,0.0,dev,"Amount, date, and reference all agree exactly."
C0648,ORD-000648,missing_record,,19128.08,INR,,0,19128.08,dev,Order recorded but no corresponding settlement received (pending or lost).
C0635,ORD-000635,missing_record,,7049.92,INR,,0,7049.92,dev,Order recorded but no corresponding settlement received (pending or lost).
C0204,ORD-000204,exact_match,TXN-0000204,9284.47,INR,2026-07-22,9284.47,0.0,dev,"Amount, date, and reference all agree exactly."
C0702,,missing_record,TXN-0000647,,,2026-08-07,44826.37,,dev,Settlement received with no matching order in the ledger (orphan credit).
C0387,ORD-000387,exact_match,TXN-0000387,24196.42,INR,2026-06-13,24196.42,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0585,ORD-000585,date_issue,TXN-0000605,2848.46,INR,2026-06-22,2848.46,0.0,dev,"Genuine settlement (TXN-0000605) is dated +6 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0932,ORD-000907,multiple_possible_matches,TXN-0001189,6012.88,INR,2026-08-27,6012.88,0.0,validation,"4 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001189 is correct. Decoys: TXN-0001190,TXN-0001191,TXN-0001192. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0430,ORD-000430,amount_issue,TXN-0000430,20873.15,INR,2026-08-13,20865.62,7.53,dev,Gross settlement amount differs from order amount by a small variance (₹7.53).
C0528,ORD-000528,date_issue,TXN-0000535,23955.3,INR,2026-06-23,23955.3,0.0,dev,"Genuine settlement (TXN-0000535) is dated -2 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue. Distractor (TXN-0000536) shares the order's amount and lands exactly on the order date (looks like a cleaner match than the genuine one), but its reference ('ORD-GHOST-580410') does not resolve to any real order — it must be rejected, not swapped in for the genuine, correctly-referenced but late settlement TXN-0000535."
C0252,ORD-000252,exact_match,TXN-0000252,23393.88,INR,2026-06-26,23393.88,0.0,dev,"Amount, date, and reference all agree exactly."
C0912,ORD-000887,multiple_possible_matches,TXN-0001125,4026.64,INR,2026-07-30,4026.64,0.0,dev,"3 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001125 is correct. Decoys: TXN-0001126,TXN-0001127. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0606,ORD-000606,date_issue,TXN-0000626,26843.81,INR,2026-08-03,26843.81,0.0,dev,"Genuine settlement (TXN-0000626) is dated -1 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0621,ORD-000621,missing_record,,30110.38,INR,,0,30110.38,dev,Order recorded but no corresponding settlement received (pending or lost).
C0774,ORD-000749,duplicate_record,TXN-0000775;TXN-0000776,7422.41,INR,2026-06-08,7422.4,0.01,dev,Duplicate + partial combo: TXN-0000775 and TXN-0000776 together equal the order amount (genuine two-part settlement); TXN-0000777 duplicates one leg and should be excluded/reversed.
C0294,ORD-000294,exact_match,TXN-0000294,10744.16,INR,2026-06-21,10744.16,0.0,test_holdout,"Amount, date, and reference all agree exactly."
C0514,ORD-000514,amount_issue,TXN-0000514,14508.98,INR,2026-07-16,8482.5,6026.48,test_holdout,Gross settlement amount is materially mismatched vs order amount — possible keying error (diff ₹-6026.48).
C0787,ORD-000762,duplicate_record,TXN-0000814;TXN-0000815,24000.87,INR,2026-06-19,24000.86,0.01,dev,Duplicate + partial combo: TXN-0000814 and TXN-0000815 together equal the order amount (genuine two-part settlement); TXN-0000816 duplicates one leg and should be excluded/reversed.
C0493,ORD-000493,amount_issue,TXN-0000493,37800.02,INR,2026-08-13,19934.01,17866.01,validation,Gross settlement amount is materially mismatched vs order amount — possible keying error (diff ₹-17866.01).
C0397,ORD-000397,amount_issue,TXN-0000397,21984.57,INR,2026-07-30,21978.77,5.8,test_holdout,Gross settlement amount differs from order amount by a small variance (₹5.80).
C0221,ORD-000221,exact_match,TXN-0000221,37669.05,INR,2026-07-29,37669.05,0.0,dev,"Amount, date, and reference all agree exactly."
C0945,ORD-000920,other_conflicting,TXN-0001222,33212.3,INR,2026-08-20,400.15,32812.15,test_holdout,"Order booked in INR, settlement recorded in USD. Cannot be reconciled by direct numeric comparison — requires an FX rate source, or should be flagged as conflicting without one."
C0655,ORD-000655,missing_record,,34058.32,INR,,0,34058.32,validation,Order recorded but no corresponding settlement received (pending or lost).
C0566,ORD-000566,date_issue,TXN-0000586,9941.39,INR,2026-06-01,9941.39,0.0,validation,"Genuine settlement (TXN-0000586) is dated -2 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0474,ORD-000474,amount_issue,TXN-0000474,11045.31,INR,2026-06-09,14218.31,-3173.0,dev,Combo case: gross settlement amount is mismatched (diff ₹3173.00) AND the reference ('ORD-000475') is malformed vs 'ORD-000474' — the agent must use date proximity plus a fuzzy/normalized reference match to even find this candidate before it can assess the amount discrepancy.
C0161,ORD-000161,exact_match,TXN-0000161,2587.97,INR,2026-07-23,2587.97,0.0,test_holdout,"Amount, date (within settlement lag), and reference all agree."
C0860,ORD-000835,partial_settlement,TXN-0000964;TXN-0000965,10872.74,INR,2026-08-02,7849.2,3023.54,validation,Partial settlement with an unexplained shortfall: TXN-0000964 + TXN-0000965 total ₹7849.20 against an order of ₹10872.74 (short by ₹3023.54). Ranked partial_settlement ahead of amount_issue per category precedence.
C0591,ORD-000591,date_issue,TXN-0000611,41127.48,INR,2026-08-30,41127.48,0.0,dev,"Genuine settlement (TXN-0000611) is dated +8 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0562,ORD-000562,date_issue,TXN-0000582,26312.99,INR,2026-06-30,26312.99,0.0,dev,"Genuine settlement (TXN-0000582) is dated +5 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0179,ORD-000179,exact_match,TXN-0000179,27385.35,INR,2026-06-21,27385.35,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0581,ORD-000581,date_issue,TXN-0000601,43985.71,INR,2026-08-17,43985.71,0.0,dev,"Genuine settlement (TXN-0000601) is dated +7 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0275,ORD-000275,exact_match,TXN-0000275,40978.49,INR,2026-07-18,40978.49,0.0,dev,"Amount, date, and reference all agree exactly."
C0795,ORD-000770,partial_settlement,TXN-0000834;TXN-0000835,9944.9,INR,2026-07-13,9944.9,0.0,test_holdout,Order was settled in two parts (TXN-0000834 + TXN-0000835) summing exactly to the order amount.
C0305,ORD-000305,exact_match,TXN-0000305,11021.47,INR,2026-07-25,11021.47,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0874,ORD-000849,multiple_possible_matches,TXN-0000997,3893.14,INR,2026-07-23,3893.14,0.0,validation,"5 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0000997 is correct. Decoys: TXN-0000998,TXN-0000999,TXN-0001000,TXN-0001001. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0901,ORD-000876,multiple_possible_matches,TXN-0001082,7575.55,INR,2026-08-11,7575.55,0.0,dev,"4 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001082 is correct. Decoys: TXN-0001083,TXN-0001084,TXN-0001085. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0041,ORD-000041,exact_match,TXN-0000041,36014.02,INR,2026-07-16,36014.02,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0202,ORD-000202,exact_match,TXN-0000202,14159.43,INR,2026-06-08,14159.43,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0123,ORD-000123,exact_match,TXN-0000123,11506.57,INR,2026-07-08,11506.57,0.0,dev,"Amount, date, and reference all agree exactly."
C0554,ORD-000554,date_issue,TXN-0000574,39295.69,INR,2026-07-05,39295.69,0.0,dev,"Genuine settlement (TXN-0000574) is dated +4 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0559,ORD-000559,date_issue,TXN-0000579,20472.74,INR,2026-08-24,20472.74,0.0,dev,"Genuine settlement (TXN-0000579) is dated -1 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0064,ORD-000064,exact_match,TXN-0000064,42286.78,INR,2026-06-20,42286.78,0.0,validation,"Amount, date, and reference all agree exactly."
C0584,ORD-000584,date_issue,TXN-0000604,18127.86,INR,2026-07-03,18127.86,0.0,test_holdout,"Genuine settlement (TXN-0000604) is dated +3 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0237,ORD-000237,exact_match,TXN-0000237,19986.33,INR,2026-06-11,19986.33,0.0,dev,"Amount, date, and reference all agree exactly."
C0442,ORD-000442,amount_issue,TXN-0000442,17491.32,INR,2026-08-24,17498.51,-7.19,dev,Gross settlement amount differs from order amount by a small variance (₹7.19).
C0460,ORD-000460,amount_issue,TXN-0000460,7066.79,INR,2026-08-14,9249.62,-2182.83,dev,Combo case: gross settlement amount is mismatched (diff ₹2182.83) AND the reference ('ORD-000461') is malformed vs 'ORD-000460' — the agent must use date proximity plus a fuzzy/normalized reference match to even find this candidate before it can assess the amount discrepancy.
C0636,ORD-000636,missing_record,,16510.13,INR,,0,16510.13,dev,Order recorded but no corresponding settlement received (pending or lost).
C0018,ORD-000018,exact_match,TXN-0000018,5401.75,INR,2026-08-18,5401.75,0.0,dev,"Reference id formatted differently ('ord-000018' vs 'ORD-000018') — requires normalization, but amount/date/identity agree: true match."
C0837,ORD-000812,partial_settlement,TXN-0000918;TXN-0000919,11481.19,INR,2026-06-19,11481.19,0.0,dev,Order was settled in two parts (TXN-0000918 + TXN-0000919) summing exactly to the order amount.
C0844,ORD-000819,partial_settlement,TXN-0000932;TXN-0000933,32186.14,INR,2026-06-03,25308.71,6877.43,dev,Partial settlement with an unexplained shortfall: TXN-0000932 + TXN-0000933 total ₹25308.71 against an order of ₹32186.14 (short by ₹6877.43). Ranked partial_settlement ahead of amount_issue per category precedence.
C0217,ORD-000217,exact_match,TXN-0000217,17634.17,INR,2026-06-16,17634.17,0.0,validation,"Amount, date, and reference all agree exactly."
C0653,ORD-000653,missing_record,,8743.71,INR,,0,8743.71,dev,Order recorded but no corresponding settlement received (pending or lost).
C0166,ORD-000166,exact_match,TXN-0000166,278.75,INR,2026-06-14,278.75,0.0,test_holdout,"Amount, date, and reference all agree exactly."
C0079,ORD-000079,exact_match,TXN-0000079,11896.0,INR,2026-06-21,11896.0,0.0,dev,"Amount, date, and reference all agree exactly."
C0210,ORD-000210,exact_match,TXN-0000210,13677.45,INR,2026-06-28,13677.45,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0441,ORD-000441,amount_issue,TXN-0000441,11066.52,INR,2026-07-07,11071.59,-5.07,validation,Gross settlement amount differs from order amount by a small variance (₹5.07).
C0948,ORD-000923,other_conflicting,TXN-0001225,39679.66,INR,2026-07-27,478.07,39201.59,validation,"Order booked in INR, settlement recorded in USD. Cannot be reconciled by direct numeric comparison — requires an FX rate source, or should be flagged as conflicting without one."
C0810,ORD-000785,partial_settlement,TXN-0000864;TXN-0000865,41040.75,INR,2026-06-11,41040.75,0.0,dev,Order was settled in two parts (TXN-0000864 + TXN-0000865) summing exactly to the order amount.
C0279,ORD-000279,exact_match,TXN-0000279,13081.81,INR,2026-06-26,13081.81,0.0,validation,"Amount, date, and reference all agree exactly."
C0377,ORD-000377,exact_match,TXN-0000377,27111.01,INR,2026-06-20,27111.01,0.0,dev,"Amount, date, and reference all agree exactly."
C0673,ORD-000673,missing_record,,13806.36,INR,,0,13806.36,dev,Order recorded but no corresponding settlement received (pending or lost).
C0936,ORD-000911,multiple_possible_matches,TXN-0001202,3221.45,INR,2026-08-20,3221.45,0.0,test_holdout,"4 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001202 is correct. Decoys: TXN-0001203,TXN-0001204,TXN-0001205. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0015,ORD-000015,exact_match,TXN-0000015,37822.55,INR,2026-06-09,37822.55,0.0,dev,"Reference id formatted differently ('ORD-00015' vs 'ORD-000015') — requires normalization, but amount/date/identity agree: true match."
C0527,ORD-000527,date_issue,TXN-0000533,24732.91,INR,2026-07-02,24732.91,0.0,dev,"Genuine settlement (TXN-0000533) is dated +6 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue. Distractor (TXN-0000534) shares the order's amount and lands exactly on the order date (looks like a cleaner match than the genuine one), but its reference ('ORD-GHOST-365803') does not resolve to any real order — it must be rejected, not swapped in for the genuine, correctly-referenced but late settlement TXN-0000533."
