txn_id,reference_order_id,settlement_date,gross_amount,currency,fee,net_amount,settlement_status
TXN-0000539,ORD-000530,2026-07-31,6172.68,INR,131.27,6041.41,settled
TXN-0000949,ORD-000827,2026-06-21,10400.67,INR,206.08,10194.59,settled
TXN-0000083,ORD-000083,2026-07-02,42068.73,INR,904.52,41164.21,settled
TXN-0000683,ORD-000704,2026-06-30,11073.65,INR,172.99,10900.66,settled
TXN-0001005,UNSPECIFIED,2026-08-23,6866.11,INR,133.63,6732.48,settled
TXN-0000401,ORD-000401,2026-08-22,34308.41,INR,773.64,33534.77,settled
TXN-0001160,UNSPECIFIED,2026-08-28,1521.88,INR,32.02,1489.86,settled
TXN-0001002,UNSPECIFIED,2026-07-08,631.31,INR,11.29,620.02,settled
TXN-0000353,ORD-000353,2026-08-16,39453.06,INR,854.95,38598.11,settled
TXN-0000063,ORD-000063,2026-06-11,9689.14,INR,232.25,9456.89,settled
TXN-0000151,ORD-000151,2026-06-02,24255.81,INR,440.57,23815.24,settled
TXN-0001217,ORD-000915,2026-07-12,141.86,INR,2.64,139.22,settled
TXN-0000172,ORD-000172,2026-06-08,11677.17,INR,245.88,11431.29,settled
TXN-0000530,ORD-GHOST-536602,2026-07-28,31157.46,INR,579.53,30577.93,settled
TXN-0000971,ORD-000838,2026-06-18,1497.7,INR,23.49,1474.21,settled
TXN-0001089,UNSPECIFIED,2026-07-20,1142.75,INR,25.14,1117.61,settled
TXN-0000067,ORD-000067,2026-07-26,44734.16,INR,758.58,43975.58,settled
TXN-0001216,UNSPECIFIED,2026-07-11,792.59,INR,15.56,777.03,settled
TXN-0000579,ORD-000559,2026-08-24,20472.74,INR,423.53,20049.21,settled
TXN-0000751,ORD-000738,2026-08-25,31961.41,INR,646.32,31315.09,settled
TXN-0000561,ORD-000541,2026-07-08,42702.18,INR,786.73,41915.45,settled
TXN-0000650,ORD-UNKNOWN-393600,2026-08-16,38900.05,INR,810.64,38089.41,settled
TXN-0000006,ORD-00006,2026-06-18,13138.98,INR,237.62,12901.36,settled
TXN-0001125,UNSPECIFIED,2026-07-30,4026.64,INR,95.43,3931.21,settled
TXN-0000718,ORD-000722,2026-07-14,37185.75,INR,910.35,36275.4,settled
TXN-0000689,ORD-000707,2026-07-30,26695.05,INR,651.44,26043.61,settled
TXN-0000550,ORD-GHOST-228683,2026-07-14,36214.33,INR,629.88,35584.45,settled
TXN-0001015,UNSPECIFIED,2026-08-22,5818.42,INR,114.36,5704.06,settled
TXN-0000583,ORD-000563,2026-07-15,44437.68,INR,987.05,43450.63,settled
TXN-0000532,ORD-GHOST-289269,2026-07-01,25481.95,INR,629.03,24852.92,settled
TXN-0000969,ORD-000837,2026-08-06,9613.54,INR,219.68,9393.86,settled
TXN-0001123,UNSPECIFIED,2026-08-26,6928.82,INR,149.14,6779.68,settled
TXN-0000150,ORD-000150,2026-08-14,8747.82,INR,183.8,8564.02,settled
TXN-0000737,ORD-000731,2026-06-30,15917.01,INR,391.64,15525.37,settled
TXN-0001069,UNSPECIFIED,2026-08-20,1634.39,INR,32.06,1602.33,settled
TXN-0000484,ORD-000484,2026-07-20,1844.55,INR,29.26,1815.29,settled
TXN-0000467,ORD000467,2026-08-22,24413.41,INR,401.69,24011.72,settled
TXN-0000388,ORD-000388,2026-08-15,23518.63,INR,475.51,23043.12,settled
TXN-0000510,ORD-000510,2026-06-25,39801.52,INR,710.84,39090.68,settled
TXN-0000464,ORD-000465,2026-06-08,45363.49,INR,1008.37,44355.12,settled
TXN-0001023,UNSPECIFIED,2026-06-18,767.53,INR,16.24,751.29,settled
TXN-0000853,ORD-000779,2026-08-07,483.09,INR,8.22,474.87,settled
TXN-0001041,UNSPECIFIED,2026-06-03,2272.73,INR,37.47,2235.26,settled
TXN-0001075,UNSPECIFIED,2026-08-25,2394.51,INR,41.23,2353.28,settled
TXN-0000994,UNSPECIFIED,2026-07-23,2554.18,INR,53.16,2501.02,settled
TXN-0000452,ORD-000452,2026-08-20,27391.58,INR,507.46,26884.12,settled
TXN-0000562,ORD-000542,2026-06-23,21999.59,INR,506.09,21493.5,settled
TXN-0000656,ORD-UNKNOWN-359413,2026-07-17,14930.56,INR,250.66,14679.9,settled
TXN-0000648,ORD-UNKNOWN-404882,2026-06-03,22122.73,INR,497.84,21624.89,settled
TXN-0000578,ORD-000558,2026-07-06,44849.0,INR,764.84,44084.16,settled
TXN-0000524,ORD-GHOST-162923,2026-06-20,43850.46,INR,974.69,42875.77,settled
TXN-0000775,ORD-000749,2026-06-08,3711.2,INR,74.99,3636.21,settled
TXN-0001040,UNSPECIFIED,2026-06-04,2272.73,INR,35.97,2236.76,settled
TXN-0000249,ORD-000249,2026-08-03,11295.09,INR,229.46,11065.63,settled
TXN-0000069,ORD-000069,2026-07-27,31686.34,INR,672.99,31013.35,settled
TXN-0000682,ORD-000704,2026-06-30,11073.65,INR,244.82,10828.83,settled
TXN-0000811,ORD-000761,2026-07-14,9044.5,INR,208.54,8835.96,settled
TXN-0000319,ORD-000319,2026-08-21,8813.77,INR,152.12,8661.65,settled
TXN-0000145,ORD-000145,2026-06-20,6970.26,INR,162.09,6808.17,settled
TXN-0000603,ORD-000583,2026-08-05,4625.61,INR,115.16,4510.45,settled
TXN-0000781,ORD-000751,2026-07-05,7013.38,INR,119.04,6894.34,settled
TXN-0000136,ORD-000136,2026-07-02,4218.55,INR,76.75,4141.8,settled
TXN-0000972,ORD-000839,2026-07-31,9004.67,INR,208.15,8796.52,settled
TXN-0000351,ORD-000351,2026-08-18,34504.38,INR,831.49,33672.89,settled
TXN-0001240,ORD-000940,2026-06-05,22299.45,INR,382.32,21917.13,settled
TXN-0000284,ORD-000284,2026-07-14,16099.43,INR,385.07,15714.36,settled
TXN-0000233,ORD-000233,2026-06-22,35676.77,INR,724.5,34952.27,settled
TXN-0001055,UNSPECIFIED,2026-08-14,598.61,INR,9.63,588.98,settled
TXN-0000729,ORD-000727,2026-07-31,27924.54,INR,696.01,27228.53,settled
TXN-0001257,ORD-000939,2026-08-27,2861.18,INR,61.59,2799.59,settled
TXN-0000188,ORD-000188,2026-07-03,10712.35,INR,222.63,10489.72,settled
TXN-0000023,ORD-00023,2026-07-07,333.6,INR,6.89,326.71,settled
TXN-0000485,ORD-000485,2026-06-24,53959.96,INR,846.14,53113.82,settled
TXN-0000655,ORD-UNKNOWN-152487,2026-07-15,7863.31,INR,153.3,7710.01,settled
TXN-0000125,ORD-000125,2026-07-06,4711.69,INR,114.76,4596.93,settled
TXN-0000822,ORD-000764,2026-08-14,15050.68,INR,335.44,14715.24,settled
TXN-0000773,ORD-000748,2026-06-07,17872.85,INR,303.98,17568.87,settled
TXN-0000593,ORD-000573,2026-08-01,35862.35,INR,816.21,35046.14,settled
TXN-0000028,ORD-00028,2026-08-14,6934.23,INR,105.78,6828.45,settled
TXN-0000025,ord-000025,2026-06-08,20630.47,INR,391.58,20238.89,settled
TXN-0000858,ORD-000782,2026-08-20,9005.08,INR,149.81,8855.27,settled
TXN-0000747,ORD-000736,2026-07-20,6206.22,INR,97.8,6108.42,settled
TXN-0000317,ORD-000317,2026-07-24,42305.92,INR,1055.21,41250.71,settled
TXN-0001224,ORD-000922,2026-08-10,429.19,USD,6.5,422.69,settled
TXN-0000560,ORD-GHOST-823013,2026-08-27,30180.02,INR,682.5,29497.52,settled
TXN-0000059,ORD-000059,2026-06-26,31218.99,INR,720.34,30498.65,settled
TXN-0000803,ORD-000758,2026-07-02,19941.08,INR,419.31,19521.77,settled
TXN-0000576,ORD-000556,2026-08-13,32248.71,INR,710.83,31537.88,settled
TXN-0000868,ORD-000787,2026-06-25,12396.4,INR,276.74,12119.66,settled
TXN-0000507,ORD-000507,2026-07-10,26796.53,INR,499.21,26297.32,settled
TXN-0000993,UNSPECIFIED,2026-07-24,2554.18,INR,61.57,2492.61,settled
TXN-0000393,ORD-000393,2026-07-06,23445.61,INR,555.84,22889.77,settled
TXN-0001067,UNSPECIFIED,2026-07-11,7690.32,INR,139.62,7550.7,settled
TXN-0001199,UNSPECIFIED,2026-08-21,7470.41,INR,157.6,7312.81,settled
TXN-0000597,ORD-000577,2026-08-15,34558.39,INR,799.69,33758.7,settled
TXN-0001116,UNSPECIFIED,2026-08-13,5268.58,INR,88.06,5180.52,settled
TXN-0001115,UNSPECIFIED,2026-08-11,5268.58,INR,131.22,5137.36,settled
TXN-0000363,ORD-000363,2026-06-20,28266.24,INR,617.27,27648.97,settled
TXN-0000677,ORD-000701,2026-08-13,9610.5,INR,216.24,9394.26,settled
TXN-0000684,ORD-000705,2026-07-02,3426.44,INR,85.08,3341.36,settled
TXN-0000713,ORD-000719,2026-07-03,33819.58,INR,706.03,33113.55,settled
TXN-0000398,ORD-000398,2026-07-11,25468.63,INR,598.43,24870.2,settled
TXN-0000988,UNSPECIFIED,2026-07-11,7812.02,INR,161.6,7650.42,settled
TXN-0001250,ORD-000987,2026-06-11,32851.95,INR,553.66,32298.29,settled
TXN-0001042,ORD-000863,2026-06-04,702.11,INR,12.78,689.33,settled
TXN-0001228,ORD-000926,2026-06-21,31126.76,INR,622.63,30504.13,settled
TXN-0000735,ORD-000730,2026-06-25,17626.69,INR,328.27,17298.42,settled
TXN-0000417,ORD-000417,2026-06-13,40038.05,INR,655.44,39382.61,settled
TXN-0000961,ORD-000833,2026-08-01,4670.24,INR,75.55,4594.69,settled
TXN-0000321,ORD-000321,2026-07-24,21144.32,INR,454.52,20689.8,settled
TXN-0000974,ORD-000840,2026-08-27,16004.14,INR,346.4,15657.74,settled
TXN-0001205,ORD-000911,2026-08-20,419.72,INR,7.18,412.54,settled
TXN-0000171,ORD-000171,2026-07-22,1973.13,INR,45.45,1927.68,settled
TXN-0001063,UNSPECIFIED,2026-06-23,1942.52,INR,33.53,1908.99,settled
TXN-0001151,UNSPECIFIED,2026-08-10,1901.12,INR,46.7,1854.42,settled
TXN-0000667,ORD-000696,2026-08-03,12280.54,INR,241.66,12038.88,settled
TXN-0000817,ORD-000763,2026-06-28,7671.0,INR,185.99,7485.01,settled
TXN-0000547,ORD-000534,2026-06-16,28009.49,INR,677.13,27332.36,settled
TXN-0000088,ORD-000088,2026-06-09,3939.15,INR,85.5,3853.65,settled
TXN-0000572,ORD-000552,2026-06-11,41190.21,INR,936.79,40253.42,settled
TXN-0000725,ORD-000725,2026-06-16,39537.41,INR,832.17,38705.24,settled
TXN-0000559,ORD-000540,2026-09-03,30180.02,INR,615.2,29564.82,settled
TXN-0001070,UNSPECIFIED,2026-08-20,1634.39,INR,26.47,1607.92,settled
TXN-0000629,ORD-000609,2026-07-03,30889.77,INR,627.04,30262.73,settled
TXN-0000384,ORD-000384,2026-06-28,35477.9,INR,615.2,34862.7,settled
TXN-0001086,UNSPECIFIED,2026-07-21,1142.75,INR,18.22,1124.53,settled
TXN-0001261,ORD-000969,2026-07-18,-3603.31,INR,0.0,-3603.31,chargeback
TXN-0000213,ORD-000213,2026-08-20,18291.13,INR,307.83,17983.3,settled
TXN-0000918,ORD-000812,2026-06-18,5387.65,INR,82.34,5305.31,settled
TXN-0000320,ORD-000320,2026-06-20,15987.96,INR,366.96,15621.0,settled
TXN-0001169,UNSPECIFIED,2026-08-11,7232.63,INR,138.51,7094.12,settled
TXN-0000881,ORD-000793,2026-07-28,19046.65,INR,317.88,18728.77,settled
TXN-0000203,ORD-000203,2026-06-03,38911.45,INR,735.71,38175.74,settled
TXN-0000504,ORD-000504,2026-08-15,19828.39,INR,330.98,19497.41,settled
TXN-0001026,UNSPECIFIED,2026-06-19,767.53,INR,15.68,751.85,settled
TXN-0001130,UNSPECIFIED,2026-06-03,694.92,INR,11.8,683.12,settled
TXN-0000652,ORD-UNKNOWN-905069,2026-06-30,40203.95,INR,835.75,39368.2,settled
TXN-0000563,ORD-000543,2026-06-04,3495.98,INR,81.91,3414.07,settled
TXN-0000782,ORD-000751,2026-07-05,7013.38,INR,127.71,6885.67,settled
TXN-0000800,ORD-000757,2026-08-08,18612.54,INR,391.26,18221.28,settled
TXN-0000633,ORD-000613,2026-07-30,35559.92,INR,537.16,35022.76,settled
TXN-0000769,ORD-000747,2026-07-17,15567.33,INR,283.98,15283.35,settled
TXN-0000448,ORD-000448,2026-06-29,44523.44,INR,824.78,43698.66,settled
TXN-0000601,ORD-000581,2026-08-17,43985.71,INR,818.73,43166.98,settled
TXN-0001122,ORD-000885,2026-06-18,1549.1,INR,35.23,1513.87,settled
TXN-0000375,ORD-000375,2026-08-12,15124.77,INR,374.18,14750.59,settled
TXN-0000449,ORD-000449,2026-08-27,9225.75,INR,206.96,9018.79,settled
TXN-0000390,ORD-000390,2026-06-24,36293.04,INR,749.24,35543.8,settled
TXN-0001022,ORD-000856,2026-06-30,1348.46,INR,23.81,1324.65,settled
TXN-0000437,ORD-000437,2026-08-20,24471.52,INR,370.42,24101.1,settled
TXN-0000823,ORD-000765,2026-08-26,17756.51,INR,293.19,17463.32,settled
TXN-0001068,UNSPECIFIED,2026-07-10,7690.32,INR,119.13,7571.19,settled
TXN-0000535,ORD-000528,2026-06-23,23955.3,INR,413.71,23541.59,settled
TXN-0000872,ORD-000789,2026-06-02,14383.06,INR,221.97,14161.09,settled
TXN-0000336,ORD-000336,2026-07-30,40760.03,INR,814.46,39945.57,settled
TXN-0001244,ORD-000948,2026-07-22,30801.72,INR,757.2,30044.52,settled
TXN-0000686,ORD-000706,2026-08-19,34812.58,INR,805.79,34006.79,settled
TXN-0000726,ORD-000726,2026-07-29,6690.49,INR,114.65,6575.84,settled
TXN-0000371,ORD-000371,2026-08-02,27461.33,INR,569.81,26891.52,settled
TXN-0000404,ORD-000404,2026-08-26,40162.13,INR,936.92,39225.21,settled
TXN-0000929,ORD-000817,2026-08-10,1396.89,INR,24.38,1372.51,settled
TXN-0000704,ORD-000715,2026-06-18,11779.87,INR,287.09,11492.78,settled
TXN-0000394,ORD-000394,2026-08-12,21968.69,INR,391.0,21577.69,settled
TXN-0000009,ord-000009,2026-08-08,19327.51,INR,359.8,18967.71,settled
TXN-0000183,ORD-000183,2026-06-11,9494.1,INR,209.8,9284.3,settled
TXN-0000416,ORD-000416,2026-08-13,8251.81,INR,130.32,8121.49,settled
TXN-0000216,ORD-000216,2026-08-11,37935.45,INR,887.01,37048.44,settled
TXN-0000996,UNSPECIFIED,2026-07-24,2554.18,INR,42.59,2511.59,settled
TXN-0000700,ORD-000713,2026-08-20,2407.06,INR,55.04,2352.02,settled
TXN-0000477,ORD-000477,2026-07-25,49194.39,INR,907.38,48287.01,settled
TXN-0000631,ORD-000611,2026-07-04,32953.22,INR,499.31,32453.91,settled
TXN-0000646,ORD-UNKNOWN-520870,2026-07-16,5279.62,INR,85.64,5193.98,settled
TXN-0000154,ORD-000154,2026-08-26,29175.5,INR,632.34,28543.16,settled
TXN-0001018,ORD-000855,2026-08-22,1534.01,INR,37.76,1496.25,settled
TXN-0001045,ORD-000864,2026-08-01,1269.26,INR,27.88,1241.38,settled
TXN-0000963,ORD-000834,2026-08-02,16204.19,INR,301.58,15902.61,settled
TXN-0000165,ORD-000165,2026-08-27,32683.17,INR,634.85,32048.32,settled
TXN-0000734,ORD-000730,2026-06-24,17626.69,INR,433.21,17193.48,settled
TXN-0000937,ORD-000821,2026-06-29,10420.27,INR,163.54,10256.73,settled
TXN-0000758,ORD-000742,2026-06-05,42677.99,INR,698.64,41979.35,settled
TXN-0001119,UNSPECIFIED,2026-06-18,6797.77,INR,138.61,6659.16,settled
TXN-0000895,ORD-000800,2026-06-13,5696.0,INR,114.48,5581.52,settled
TXN-0000991,UNSPECIFIED,2026-06-02,2288.25,INR,46.86,2241.39,settled
TXN-0000827,ORD-000766,2026-08-06,2993.26,INR,56.3,2936.96,settled
TXN-0001190,UNSPECIFIED,2026-08-27,6012.88,INR,137.76,5875.12,settled
TXN-0000978,ORD-000842,2026-06-30,311.36,INR,5.35,306.01,settled
TXN-0000733,ORD-000729,2026-07-02,5563.87,INR,104.36,5459.51,settled
TXN-0000640,ORD-000620,2026-06-15,18351.0,INR,400.94,17950.06,settled
TXN-0000720,ORD-000723,2026-08-26,37656.13,INR,814.61,36841.52,settled
TXN-0001110,ORD-000882,2026-07-03,2898.43,INR,71.0,2827.43,settled
TXN-0001126,UNSPECIFIED,2026-07-31,4026.64,INR,74.11,3952.53,settled
TXN-0001164,UNSPECIFIED,2026-06-23,2240.63,INR,47.12,2193.51,settled
